ref_num,area,city,district,Mukatat,piece_num,property_classification,property_type,number_of_properties,price,space,Price_per_square_meter
18907233.0,منطقة القصيم,البكيريه,حي/أخرى,أخرى,138,تجاري,أرض,1.0,30000.0,720.0,41.67
18923323.0,منطقة القصيم,البكيريه,حي/أخرى,أخرى,87,سكني,أرض,1.0,30000.0,750.0,40.0
18920142.0,منطقة القصيم,الرس,حي/أخرى,أخرى,157,سكني,أرض,1.0,20000.0,660.67,30.27
18920592.0,منطقة القصيم,الرس,حي/أخرى,أخرى,909,سكني,أرض,1.0,390000.0,675.0,577.78
18909521.0,منطقة القصيم,الرس,حي/أخرى,أخرى,111,سكني,أرض,1.0,20000.0,440.0,45.45
18921822.0,منطقة القصيم,الرس,أخرى,أخرى,448,سكني,أرض,1.0,600000.0,650.0,923.08
18919123.0,منطقة القصيم,المذنب,حي/أخرى,ق/م/11,251,سكني,أرض,1.0,77000.0,837.0,92.0
18916936.0,منطقة القصيم,بريده,3057/ ق,أخرى,957,سكني,أرض,1.0,30000.0,828.0,36.23
18920251.0,منطقة القصيم,بريده,حي/أخرى,283/2/ق,1442,سكني,أرض,1.0,420000.0,525.0,800.0
18918521.0,منطقة القصيم,بريده,الاسكان,3,136,سكني,أرض,1.0,350000.0,400.0,875.0
18887318.0,منطقة القصيم,بريده,الاسكان,6,351,سكني,أرض,1.0,350000.0,410.0,853.66
18905931.0,منطقة القصيم,بريده,الجزيرة,ق/ب/7359,27,سكني,أرض,1.0,180000.0,405.0,444.44
18919199.0,منطقة القصيم,بريده,الحمر,ق/ب/542,1,سكني,شقة,1.0,300000.0,175.2,1712.33
18908453.0,منطقة القصيم,بريده,الرابية,ق/ب/89,339/9,سكني,أرض,1.0,89069.0,300.0,296.9
18918738.0,منطقة القصيم,بريده,الشقة السفلى,1082/2/ق,186,سكني,أرض,1.0,190000.0,750.0,253.33
18917023.0,منطقة القصيم,بريده,الصفراء,أخرى,221,سكني,أرض,1.0,300000.0,400.0,750.0
18920233.0,منطقة القصيم,بريده,حي/أخرى,393/ق/ب,3328/ب,سكني,أرض,1.0,122500.0,346.45,353.59
18917649.0,منطقة القصيم,بريده,القاع البارد,003198/0401/0400,6/2/1,سكني,أرض,1.0,150000.0,374.93,400.07
18917519.0,منطقة القصيم,بريده,القاع البارد,003198/401/0400,7,سكني,أرض,1.0,150000.0,374.99,400.01
18918961.0,منطقة القصيم,بريده,القاع البارد,ق/ب/1905,23,سكني,أرض,1.0,229365.0,509.7,450.0
18916973.0,منطقة القصيم,بريده,القرعاء,680/2/ق المعدل,601,سكني,أرض,1.0,60000.0,700.0,85.71
18920801.0,منطقة القصيم,بريده,اللسيب,484/ق,52/ع/1,سكني,أرض,1.0,100000.0,240.0,416.67
18920953.0,منطقة القصيم,بريده,اللسيب,484/ق,52/ع/2,سكني,أرض,1.0,141000.0,260.0,542.31
18921924.0,منطقة القصيم,بريده,المنار,1/1400/أ,3,سكني,شقة,1.0,330000.0,148.73,2218.79
18919073.0,منطقة القصيم,بريده,النخيل,1/1400/د,1747/2,سكني,أرض,1.0,1050000.0,312.5,3360.0
18921695.0,منطقة القصيم,بريده,النسيم,ق/ب/110,1,سكني,شقة,1.0,320000.0,147.0,2176.87
18920349.0,منطقة القصيم,بريده,النقيب,ق/ب/104,1364/أ,سكني,أرض,1.0,145000.0,302.5,479.34
18917566.0,منطقة القصيم,بريده,النقيب,ق/ب/104,918,سكني,أرض,1.0,185000.0,594.0,311.45
18906223.0,منطقة القصيم,بريده,حي/أخرى,2132/ق,57,سكني,أرض,1.0,30000.0,623.97,48.08
18917178.0,منطقة القصيم,بريده,حي/أخرى,ق/ص/21,63,سكني,أرض,1.0,160000.0,689.8,231.95
18907818.0,منطقة القصيم,بريده,شمال بريدة,ق/ب/7441,394,سكني,أرض,1.0,360490.0,611.0,590.0
18907822.0,منطقة القصيم,بريده,شمال بريدة,ق/ب/7441,396,سكني,أرض,1.0,360490.0,611.0,590.0
18908800.0,منطقة القصيم,عقلة الصقور,الجفن,2102/ق,6,سكني,أرض,1.0,32000.0,780.0,41.03
18917475.0,منطقة القصيم,عنيزه,الروابى,987/ق,139/2,سكني,أرض,1.0,250278.0,424.2,590.0
18905089.0,منطقة القصيم,عنيزه,القادسية,411/ق,974,سكني,أرض,1.0,750000.0,520.0,1442.31
18920983.0,منطقة القصيم,عنيزه,الملك خالد,348/ق,538,سكني,أرض,1.0,250000.0,500.0,500.0
18920304.0,منطقة القصيم,عنيزه,الملك خالد,348/ق,539,سكني,أرض,1.0,250000.0,460.0,543.48
18922609.0,منطقة القصيم,عنيزه,المنار,834/ق,186/ب,سكني,أرض,1.0,100000.0,252.0,396.83
18921549.0,منطقة القصيم,عنيزه,حي/أخرى,257/ق,640,تجاري,أرض,1.0,1112000.0,1188.5,935.63
18920306.0,المنطقة الشرقية,ابقيق,حي/أخرى,12/17/م,399/ج,سكني,أرض,1.0,40000.0,675.5,59.22
18919876.0,المنطقة الشرقية,ابقيق,حي/أخرى,16-Dec,62/د,سكني,أرض,1.0,70000.0,400.0,175.0
18915619.0,المنطقة الشرقية,ابقيق,عين دار الجديدة,13/12,24/أ,سكني,أرض,1.0,30000.0,395.5,75.85
18909576.0,المنطقة الشرقية,ابقيق,حي/أخرى,28-Dec,456/أ,سكني,أرض,1.0,20000.0,600.0,33.33
18916667.0,المنطقة الشرقية,الجبيل,الفناتير,ها م/ف2,11,سكني,أرض,1.0,270099.0,571.3,472.78
18916663.0,المنطقة الشرقية,الجبيل,الفناتير,ها م/ف6,89,سكني,أرض,1.0,125993.0,614.6,205.0
18916587.0,المنطقة الشرقية,الجبيل,جلمودة,ها م/أ1,19,تجاري,أرض,1.0,313959.0,601.0,522.39
18916414.0,المنطقة الشرقية,الجبيل,جلمودة,ها م/أ1,22,سكني,أرض,1.0,366389.0,620.5,590.47
18915907.0,المنطقة الشرقية,الجبيل,جلمودة,ها م/أ2,125,سكني,أرض,1.0,284993.0,443.1,643.18
18916180.0,المنطقة الشرقية,الجبيل,جلمودة,ها م/أ2,21,تجاري,أرض,1.0,294822.0,582.0,506.57
18915902.0,المنطقة الشرقية,الجبيل,جلمودة,ها م/أ2,23,سكني,أرض,1.0,252221.0,525.6,479.87
18915520.0,المنطقة الشرقية,الجبيل,جلمودة,ها م/أ2,28,تجاري,أرض,1.0,286631.0,580.3,493.94
18916319.0,المنطقة الشرقية,الجبيل,جلمودة,ها م/أ2,31,تجاري,أرض,1.0,305841.0,541.9,564.39
